Title,Group audio,Violin audio,Singing audio,Guitar audio,Percussion audio,Music score,Lyrics,Translations,Plurilingual songs,History,Videos,Beneficiaries,Difficulty Level,Musical style,Style musical,Thèmes,Themes,Country/Geographic origin,Pays/origine géographique,Language of origin,Langue d'origine,IS A SONG,NEWSLETTER,,,,,,,,,,
BEI DEM SHTETL,yes,"Notes voice 1 : yes
Notes voice 2 : yes
Scale : yes
Slow speed voice 1 : yes
Original speed voice 1 : yes
Slow speed voice 2 : yes
Original speed voice 2 : yes",no,"Notes : yes
Scale : yes
Chords : no
Slow speed chords : no
Original speed chords : no
Slow melody : no 
Original melody : no",no,yes,Yiddish : yes,"Yiddish->English : yes
Yiddish->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Children's song, Klezmer, Traditional song","Chanson enfantine, Chanson traditionnelle, Klezmer ","animaux, cheval, chèvre, chien, cri des animaux, famille, maison, oiseau, poney, poule, poussin, travail","Yiddish: animals, bird, chicken, chick, dog, family, goat, horse, house, pony, 
sound of animals, work ","Central Europe, Eastern Europe, Western Europe","Europe centrale, Europe de l'Est, Europe de l'Ouest",Yiddish,Yiddish,TRUE,PRINTEMPS 2023,,,,,,,,,,
BELLA CIAO,no,no,no,no,no,yes,Italian : yes,"1.1. Italian->French : yes
1.2. Italian->English : yes
2. English->French : yes
3. French->English : yes
4.1. German->English : yes
4.2. German->French : yes","1. Italian : BELLA CIAO
2. English : BELLA CIAO
3. French : BELLA CIAO
4. German : BELLA CIAO",no : Simon,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Protest song,Chanson engagée,"Amour, ennemi, espoir, guerre, liberté, mort, partisan, resistance","English: Courage, death, freedom, nature, resistance, solidarity, soldiers, unity, war
German: Death, freedom, nature, partisans, resistance, sacrifice, war
Italian: Death, fight for freedom, mountain, nature, resistance, sacrifice, separation, war 

","Italy, Southern Europe","Italie, Europe du Sud",Italian,Italien,TRUE,,,,,,,,,,,
BELLE QUI TIENS MA VIE,no,no,no,no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional Dance, Pavane, Polyphonic song, Renaissance song","Chant de la Renaissance, Chant polyphonique, Danse traditionnelle, Pavane ","Amour, baiser, beauté feminine, dépendance émotionelle, émotions physiques, passion, 
regard, refus, souffrance amoureuse ","emotional dependence, feminine beauty, gaze, heartbreak, kiss, love, passion, physical emotions, refusal","France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
BEMBASA,yes,no,no,no,no,yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Sevdalinka, Traditional song","Chant traditionnel, Sevdalinka","agneau, destin, filles de Bembasa, passage du temps, ramplacement, recherche d’eau, rencontre amoureuse, rendez-vous manqué, tradition, tromperie, village","BCMS: Destiny, deception, girls of Bembasa, lamb, meeting with love, missed appointment, 
passage of time, replacement, search for water, tradition, village","Bosnia and Herzegovina, Balkans, South-Eastern Europe","Bosnie-Herzégovine, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,PRINTEMPS 2024,,,,,,,,,,
BERCEUSE COSAQUE,no,no,no,no,no,yes,"1. French : yes
2. Russian : yes","1. French->English : yes
2. Russian->English : yes
2. Russian->French : yes","1. French : BERCEUSE COSAQUE
2. Russian : KAZATCHIA KOLYBELNAIA","French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,Lullaby,Berceuse,"Cycle de la vie, enfant, heure de dormir, sommeil, soir, terre, tranquillité ","Russian: Baby, childhood, peaceful, sleep, tranquility","Russia, Eastern Europe","Russie, Europe de l'Est",Russian,Russe,TRUE,,,,,,,,,,,
BERIMBAU,no,no,no,no,no,no,"1. Portuguese : yes
2. French : yes","1.1. Portuguese->English : yes
1.2. Portuguese->French : yes
2. French->English : yes","1. Portuguese : BERIMBAU
2. French : BIDONVILLE",no,NA,"Children
Teenagers 
Adults 
Seniors",Advanced,Song,Chanson,"Bidonville, enfants, espoir de changement, inégalité sociale, jeu, la ville, pauvreté, 
relation humaine, solidarité ","Portuguese: Benevolence, capoiera, fidelity, generosit, honesty, love, resistance, sadness, 
solitude, struggle, value of love, words/action","Brazil, South-America","Brésil, Amérique du Sud",Portuguese,Portugais,TRUE,,,,,,,,,,,
BESENA ROVENA,yes,no,"Arabic lyrics in rhythm : yes
Notes : no
Scale : yes
Arabic slow speed : yes
Arabic original speed : yes",no,no,yes,Romani : yes,"Romani->English : yes
Romani->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Advanced,"Romane Chave, Traditional song","Chant traditionnel, Romane Chave, Tsigane","invitation, mouvement, répétition","Romani: Invitation, movement, repetition","Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
BINGYOL,yes,"Notes : yes
Scale : no
Slow speed : yes
Original speed : yes","Armenian lyrics in rhythm : yes
Notes : yes
Armenian slow speed : yes
Armenian original speed : yes",no,no,yes,Armenian : yes,"Armenian->English : yes
Armenian->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Advanced,Traditional song,Chant traditionnel,"amour, animaux, chameaux, cycle de la vie, lacs, mouvement, nature, paysage, perte, pierres, printemps, rivières, voyage","Armenian: Animals, camels, cycle of life, landscape, lakes, love, loss, movement, nature, rivers, spring, stones, voyage","Armenia, Western Asia","Arménie, Asie de l'Ouest",Armenian,Arménien,TRUE,,,,,,,,,,,
BINT EL CHALABIYA,no,no,"Arabic lyrics in rhythm : yes
Notes : yes
Scale : no
Arabic slow speed : yes
Arabic original speed : yes",no,no,yes,Arabic : yes,"Arabic->French : yes
Arabic->English : yes",NA,"French : yes
English : yes",NA,"Teenagers
Adults",Advanced,Traditional song,"Musique traditionnelle, Chant traditionnel","amour, amour compliqué, beauté, départ, douleur, fatigue, mouvement, physique","Arabic: Beauty, complicated love, departure, fatigue, love, movement, pain, physical",Middle East,Proche-Orient,Arabic,Arabe,TRUE,,,,,,,,,,,
BIZIM MAHALLE,yes,no,no,no,no,yes,Turkish : yes,"Turkish->English : yes
Turkish->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,Traditional song,Chant traditionnel,"commissariat, désir, différences sociales, habitudes, nuit, quartiers","Turkish: Desire, habits, neighborhoods, night, police station, social différences","Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
