Title,Group audio,Violin audio,Singing audio,Guitar audio,Percussion audio,Music score,Lyrics,Translations,Plurilingual songs,History,Videos,Beneficiaries,Difficulty Level,Musical style,Style musical,Thèmes,Themes,Country/Geographic origin,Pays/origine géographique,Language of origin,Langue d'origine,IS A SONG,NEWSLETTER,,,,,,,,,,
HAJDE JANO,yes,"Notes : yes
Scale : yes
Slow speed : yes
Original speed : yes","BCMS lyrics in rhythm : yes
notes : yes
scale : yes
BCMS slow speed : yes
BCMS original speed : yes",no,"Darbouka Original speed : yes
Darbouka Slow speed : yes
Darbouka Rhythmic pattern : yes",yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Starogradska, Traditional song","Chant traditionnel, Starogradska",,"BCMS: Celebration, dance, émotions, live in the moment, love, sacrifice, sell ","Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
HARMODIK VERBUNKOS,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,?,,,,"Hungary, Central Europe","Hongrie, Europe centrale",Hungarian,Hongrois,FAUX,,,,,,,,,,,
HAVA NAGILA,yes,no,no,no,no,yes,Heb : yes,"Heb->Eng : yes
Heb->Fr : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Klezmer, Traditional song","Chant traditionnel, Klezmer",,"Hebrew: brotherhood, émotion, heart, happiness, joy, music, song, wake-up ","Central Europe, Eastern Europe, Western Europe","Europe centrale, Europe de l'Est, Europe de l'Ouest",Yiddish,Yiddish,TRUE,,,,,,,,,,,
HEJ SOKOLY,no,no,no,no,no,no,"1. Polish : yes
2. Ukrainian : yes","1.1. Polish->English : yes
1.2. Polish->French : yes
2.1. Ukrainian->English : yes
2.2. Ukrainian->French : yes","1. Polish : HEJ SOKOLY
2. Ukrainian : HEJ SOKOLY",no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,,,"Poland, Central Europe, Ukraine, Eastern Europe","Pologne, Europe centrale, Ukraine, Europe de l'Est",Polish,Polonais,TRUE,,,,,,,,,,,
HEUTE KANN ES REGNEN,no,no,no,no,no,no,German : yes,"German->English : yes
German->French : yes",NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine",,,"Germany, Western Europe","Allemagne, Europe de l'Ouest",German,Allemand,TRUE,,,,,,,,,,,
HEYAMO,no,no,no,no,no,Lara,Lara,Lara,,Lara,NA,,,,,,,,,,,TRUE,,,,,,,,,,,
HISTORIA DE UN AMOR,no,no,no,no,no,no,"1. Spanish : yes
2. French : yes","1.1. Spanish->English : yes
1.2. Spanish->French : yes
2. French->English : yes
","1. Spanish : HISTORIA DE UN AMOR
2. French : HISTOIRE D'UN AMOUR ",no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,,,"Panama, Central America","Panama, Amérique centrale ",Spanish,Espagnol,TRUE,,,,,,,,,,,
HOY NAZANIM,no,no,no,no,no,yes,Armenian : yes,"Armenian->English : yes
Armenian->French : yes",NA,no,NA,Adults,Advanced,Traditional song,Chant traditionnel,,,"Armenia, Western Asia","Arménie, Asie de l'Ouest",Armenian,Arménien,TRUE,,,,,,,,,,,
HYMNE A LA JOIE,no,no,no,no,no,yes,German : yes,"1.1. German->French : yes
1.2. German->English : yes
2. French->English : yes
3.1. Portuguese->French : yes
3.2. Portuguese->English : yes
4.1. Italian->French : yes
4.2. Italian->English : yes
5.1. Spanish->French : yes
5.2. Spanish->English : yes
","1. German : ODE AN DIE FREUDE
2. French : HYMNE A LA JOIE
3. Portuguese : HINO A LA ALEGRIA
4. Italian : INNO A LA GIOIA
5. Spanish : HIMNO A LA ALEGRIA",no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Classical music, Romantic music, Song, Anthem ","Musique classique, Musique romantique, Chant",,,"Germany, Western Europe","Allemagne, Europe de l'Ouest",German,Allemand,TRUE,,,,,,,,,,,
I WILL SURVIVE,no,no,no,no,no,no,"1. English : yes
2. French : yes","1. English->French : yes
2. French->English : yes","1. English : I WILL SURVIVE
2. French : JE SURVIVRAI",no,NA,"Teenagers
Adults
Seniors",Intermediate,Disco,Disco,,,"United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
IL ETAIT UN PETIT HOMME,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Acident, avion, fragilité, maison, maladresse, objets fragiles, réparation, transports",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
IL ETAIT UN PETIT NAVIRE,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine",,,,,,,,,,,,,,,,,,
IL JOUAIT DU PIANO DEBOUT,no,no,no,no,no,no,"1. French : yes
2. Spanish : yes","1. French->English : yes
2.1. Spanish->French : yes
2.2. Spanish->English : yes","1. French : IL JOUAIT DU PIANO DEBOUT
2. Spanish : JUSTO EN EL MOMENTO",no,NA,"Adults 
Seniors",Intermediate,Rock,Rock,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
IZGRYALA E MESECHINKA,no,NA,no,NA,NA,yes,Bulgarian : yes,"Bulgarian->English : yes
Bulgarian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,,,"Bulgaria, South-Eastern Europe","Bulgarie, Europe du Sud-Est",Bulgarian,Bulgare,TRUE,,,,,,,,,,,
"IL COURT, IL COURT, LE FURET",no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine",,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
J'AI DU BON TABAC,no,no,no,no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,"Children
Adults 
Seniors",Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Non partage, partage, possession, provocation légère, tabac",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
J'AI UN GROS NEZ ROUGE,no,no,no,no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Acrobaties, apparence, cirque, clown, couleur, costume, expressio corporelle, 
malice, rouge",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
J'AIME LA GALETTE,no,no,no,no,no,yes,"1. French : yes
2. French : yes","1. French->English : yes
2. French->English : yes","1. French : J'AIME LA GALETTE
2. French : J'AIME LA PUREE","French : yes
English : yes",NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","beurre,cuisine, festivité, galette, joie, nourriture, tradition",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
JAMBO BWANA,no,no,"Singing Notes : yes
Singing Scale : yes
Swahili Slow speed : yes
Swahili Original speed : yes
Swahili Lyrics in rhythm : yes ",no,"Darbouka Original speed : yes
Darbouka Slow speed : yes
Darbouka Rhythmic pattern : yes",yes,Swahili : yes,"Swahili->English : yes
Swahili->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional song,Chant traditionnel,,,"Kenya, Eastern Africa","Kenya, Afrique de l'Est",Swahili,Swahili,TRUE,,,,,,,,,,,
JE FAIS LE TOUR DE MA MAISON,NA,NA,no,NA,NA,NA,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,Children,Easy,Nursery rhyme,Comptine,"Animaux, chien, corps, endormissement, jardin, maison, nature, nuit, routine ",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
JE L'AIME A MOURIR,no,no,no,no,no,no,"1. French : yes
2. Spanish : yes","1. French->English : yes
2. 1. Spanish->French : yes
2.2. Spanish->English : yes","1. French : JE L'AIME A MOURIR
2. Spanish : LA QUIERO A MORIR ",no,NA," 
Adults 
Seniors",Intermediate,French chanson ,Chanson française,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
J'HABITE UNE MAISON CITROUILLE,no,no,no,no,no,no (Muro),French : yes,,,,,,,,,,,,,,,,,,,,,,,,,,
"JOVANO, JOVANKE",yes,yes,"Notes : yes
Scale : yes
Macedonian Slow speed : yes
Macedonian Original speed : yes
Macedonian Lyrics in rhythm : yes ",no,no,yes,Macedonian : yes,"Macedonian->English : yes
Macedonian->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,,"Macedonian: Hope, love, obstacle (the mother), waiting ","Macedonia, Western Europe","Macédoine, Europe de l'Ouest",Macedonian,Macedonian,TRUE,,,,,,,,,,,
JOYEUX ANNIVERSAIRE,French duo : yes,yes,"Arabic : yes
BCMS : yes
English : yes
French : yes
German : yes
Italian : yes
Russian : no
Spanish : yes
Turkish : yes
Ukrainian : yes",no,no,yes,"1. Arabic : yes
2. BCMS : yes
3. English : yes
4. French : yes
5. German : yes
6. Italian : yes
7. Russian : yes
8. Spanish : yes
9. Turkish : yes
10. Ukrainian : yes","1.1. Arabic->English : yes
1.2. Arabic->French : yes
2.1. BCMS->English : yes
2.2. BCMS->French : yes
3. English->French : yes
4. French->English : yes
5.1. German->English : yes
5.2. German->French : yes
6.1. Italian->English : yes
6.2. Italian->French : yes
7.1. Russian->English : yes
7.2. Russian->French : yes
8.1. Spanish->English : yes
8.2. Spanish->French : yes
9.1. Turkish->English : yes
9.2. Turkish->French : yes
10.1. Ukrainian->English : yes
10.2. Ukrainian->French : yes","1. Arabic : SANA HILOI YA GAMIL
2. BCMS : SRETAN RODJENDAN TI
3. English : HAPPY BIRTHDAY
4. French : JOYEUX ANNIVERSAIRE
5. German : ZUM GEBURSTAG VIEL GLUCK
6. Italian : TANTI AUGURI A TE
7. Russian : S DN'OM ROZHDENIYA TEBYA
8. Spanish : CUMPLEANOS FELIZ
9. Turkish : IYIKI DOGDUN
10. Ukrainian : Z DNEM NARODZHENNYA","French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Anniversaire, celebration d'une personne, festivité, fête, marquer une étape","Arabic: Appearance, celebration of a person, festivity, party, year
Bcms: Birthday, Celebration of a person, festivity, mark a step, party
English: Birthday, Celebration of a person, festivity, mark a step, party
German: Birthday, Celebration of a person, festivity, luck, mark a step, party
Italian:  Celebration of a person, festivity, mark a step, party, wishes
Russian:Birthday, Celebration of a person, festivity, mark a step, party
Spanish: Birthday, Celebration of a person, festivity, mark a step, party
Turkish:  Birth, celebration of a person, exclamation of emotion, festivity, happy new year, mark a step, party  
Ukranian: Birthday, Celebration of a person, festivity, mark a step, party ","United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
KADU BUVA KADUJO,no,"Notes voice 1 : yes
Notes voice 2  : yes
Notes voice 3 : yes
Scale : yes
Slow speed voice 1 : yes
Slow speed voice 2 : yes
Slow speed voice 3 : yes
Original speed voice 1 : yes
Original speed voice 2 : yes
Original speed voice 3 : yes","Notes : yes
Scale : yes
Lithuanian Slow speed voice 1 : yes
Lithuanian Original speed voice 1 : yes
Lithuanian Slow speed voice 2 : no
Lithuanian Original speed voice 2 : no
Lithuanian Slow speed voice 3 : no
Lithuanian Original speed voice 3 : no
Lithuanian Lyrics in rhythm : yes ",no,no,yes,Lithuanian : yes,"Lithuanian->French : yes
Lithuanian->English : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional music,Musique traditionnelle,,,"Lithuania, Northern Europe","Lituanie, Europe du nord",Lithuanian,Lituanien,TRUE,,,,,,,,,,,
KAKAVI YERKE,no,no,no,no,no,yes,Armenian : yes,"Armenian->English : yes
Armenian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Musique traditionnelle, Chanson traditionnelle",,,"Armenia, Western Asia","Arménie, Asie de l'Ouest",Armenian,Arménien,TRUE,,,,,,,,,,,
KANELORIZA,no,no,no,no,no,no,Greek : yes,"Greek->English : yes
Greek->French : yes",NA,no,NA,?,?,"Traditional music, Traditional song","Musique traditionnelle, Chanson traditionnelle",,,"Greece, South-Eastern Europe","Grèce, Europe du Sud-Est",Greek,Grec,TRUE,,,,,,,,,,,
KATIOUCHA,yes,no,no,no,no,yes,Russian : yes,"Russian->English : yes
Russian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Traditional music,Musique traditionnelle,,,"Russia, Eastern Europe","Russie, Europe de l'Est",Russian,Russe,TRUE,,,,,,,,,,,
KATSIVELA,no,no,"Notes : yes
Scale : yes
Greek Slow speed : yes
Greek Original speed : yes
Greek Lyrics in rhythm : yes ",no,"Darbouka Original speed : yes
Darbouka Slow speed : yes
Darbouka Rhythmic pattern : yes",yes,Greek : yes,"Greek->English : yes
Greek->French : yes",NA,"French : yes
English : yes",NA,Adults ,Advanced,"Traditional music, Traditional song","Musique traditionnelle, Chanson traditionnelle",,"Greek: feminine beauty, freedom, love, nature, obsession, passion, seduction, sky, sultana","Greece, South-Eastern Europe","Grèce, Europe du Sud-Est",Greek,Grec,TRUE,Automne 2025,,,,,,,,,,
KEREK A SZOLO LEVELE,no,no,no,no,no,no,Hungarian : yes,"Hungarian->English : yes
Hungarian->French : yes",NA,no,NA,Adults ,?,"Traditional music, Traditional song","Musique traditionnelle, Chanson traditionnelle",,,"Hungary, Central Europe","Hongrie, Europe centrale",Hungarian,Hongrois,TRUE,,,,,,,,,,,
KOBA KASATCHOK,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Kasatchok, Traditional dance, Traditional music","Danse traditionnelle, Kasatchok, Musique traditionnelle",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",FALSE,,,,,,,,,,,
KOJAK CECEK-PERGOTO,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,Traditional music,Musique traditionnelle,,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",FALSE,,,,,,,,,,,
KOLOMYJKA FROM BORSCHCHIV,no,"Notes : yes
Scale : yes
Slow speed : yes
Original speed : yes","Notes : yes
Scale : yes
Ukrainian Slow speed : yes
Ukrainian Original speed : yes
Ukrainian Lyrics in rhythm : yes ",no,no,yes,Ukrainian : yes,"Ukrainian->English : yes
Ukrainian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Advanced,"Kolo, Traditional dance, Traditional music, Traditional song","Chant traditionnel, Danse traditionnelle, Kolo, Musique traditionnelle",,,"Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
KOLOMYYKA,yes,no,no,no,no,yes,Ukrainian : yes,"Ukrainian->English : yes
Ukrainian->French : yes",NA,"French : yes
English : yes",no,"Children
Teenagers 
Adults 
Seniors",Easy,"Kolo, Traditional dance, Traditional music, Traditional song","Chant traditionnel, Danse traditionnelle, Kolo, Musique traditionnelle",,"Ukrainian: Contrast between desire and reality, dance, effort, ease, music, pleasure, work ","Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
KOLOMYYKA MENE MATY PORODYLA,no,no,no,no,no,yes,Ukrainian : yes,"Ukrainian->English : yes
Ukrainian->French : yes",NA,"French : yes
English : no",NA,"Children
Teenagers 
Adults 
Seniors",Advanced,"Kolo, Traditional dance, Traditional music, Traditional song","Chant traditionnel, Danse traditionnelle, Kolo, Musique traditionnelle",,"Ukrainian: Contrast between desire and reality, dance, effort, ease, music, pleasure, work ","Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
KUSTINO ORO,yes,no,NA,no,no,yes,NA,NA,NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Advanced,Traditional music,Musique traditionnelle,,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",FALSE,,,,,,,,,,,
KUTU KUTU PENSE,no,no,yes,no,no,yes,Turkish : yes,"Turkish->English : yes
Turkish->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Nursery rhyme,Comptine,,,"Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
L.O.V.E.,no,no,no,no,no,no,English : yes,English->French : yes,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Jazz,Jazz,,,"United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,no
L'ARAIGNEE GIPSY,no,no,no,no,no,yes,"1. English : yes
2. French : yes","1. English->French : yes
2. French->English : yes","1. English : ITSY BITSY SPIDER
2. French : L'ARAIGNEE GIPSY",no,NA,Children,Easy,Children song,Chanson enfantine,"Animaux, araignée,le cycle de la vie, méteo, pluie, soleil","English: Adventure, aniamls, life cycle, naturel élément, rain, spider, sun, 
waterspout","France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
L'ESTACA,no,no,no,no,no,yes,"1. Catalan : yes
2. French : yes
3. Tunisian : yes","1.1. Catalan->English :  yes
1.2. Catalan->French : yes
2. French->English :  yes
3.1. Tunisian->English : yes
3.2. Tunisian->French : yes","1. Catalan : L'ESTACA
2. French : LE PIEU
3. Tunisian : DIMA DIMA",no,NA,"Adults
Seniors",Intermediate,Protest song,Chanson engagée ,,,"Catalonia, Spain, South-Western Europe","Catalogne, Espagne, South-Western Europe",Catalan,Catalan,TRUE,,,,,,,,,,,
L'ETE INDIEN,no,no,no,no,no,no,"1. French : yes
2. Greek : no","1. French->English : yes
2.1. Greek->English : no
2.2. Greek->French : no","1. French : L'ETE INDIEN
2. Greek : ONEIRA",no,NA,"Adults 
Seniors",Intermediate,French chanson,Chanson française,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LA FLACA,no,no,no,no,no,no,Spanish : yes,"Spanish->French : yes
Spanish->English : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Pop, Rock","Pop, Rock",,"Spanish: admiration, beer, black coral, culture, dance, desire, drinking, émotion, Havana, 
love, mad love, nature, obsession, salsa, suffering, sun, woman ","Spain, South-Western Europe","Espagne, Europe du Sud-Ouest",Spanish,Espagnol,TRUE,,,,,,,,,,,
LA FOULE,no,no,no,no,no,no,"1. French : yes
2. Spanish : yes","1. French->English : yes
2.1. Spanish->French : yes
2.2. Spanish->English : yes","1. French : LA FOULE
2. Spanish : QUE NADIE SEPA MI SUFRIR ",no,NA,"Adults 
Seniors",Intermediate,French chanson,Chanson française,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LA JAVANAISE,no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,French chanson,Chanson française,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LA LLORONA,no,no,no,no,no,yes,Spanish : yes,"Spanish->French : yes
Spanish->English : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,"Spanish: Cemetery, Christ's tears, death, despair, émotions, flowers, love, mourning,
 nature, pain, prayer, religion, sadness, Saint christ, singing, weeping woman, wind ","Mexico, Latin America, Northern America","Mexique, Amérique Latine, Amérique du Nord",Spanish,Espagnol,TRUE,ETE 2023,,,,,,,,,,
LA MARMOTTE,yes,no,no,no,no,yes,French&German : yes,"French&German->English : yes
French&German->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Classical music, Romantic music, Song","Chant, Musique classique, Musique romantique","Animaux, boire, garçon, jeune fille, manger, marmotte, messieurs, nature, rencontre ","German: Animals, boy, drinking, eating, encounter, gentlemen, marmot, nature, young girl","Germany, Western Europe","Allemagne, Europe de l'Ouest","German, French","Allemand, Français",TRUE,,,,,,,,,,,
LA NONCHALANTE,no,no,no,no,no,yes,no,no,NA,no,,,,,,,,,,,,,,,,,,,,,,,
LA PETITE POULE ROUSSE,no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,Children,Easy,Nursery rhyme,Comptine,,,"Russia, Eastern Europe","Russie, Europe de l'Est",Russian,Russe,TRUE,,,,,,,,,,,
LA POULE,yes,no,no,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Celtic music,Musique celtique,,,"Ireland, North-Western Europe","Irlande, Europe du Nord-Ouest",?,?,FALSE,,,,,,,,,,,
LA ROSE ET LE ROSIER,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional music,Musique traditionnelle ,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LA ROZA ENFLORESE,no,no,"Notes : yes
Scale : yes
Ladino Slow speed : yes
Ladino Original speed : yes
Ladino Lyrics in rhythm : yes ",no,no,yes,Ladino : yes,"Ladino->English : yes
Ladino->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional song, Medieval song","Chant traditionnel, Musique médiévale, Sépharade",,,?,?,Ladino,Ladino,TRUE,,,,,,,,,,,
LA VEILLE DE LA CHANDELEUR,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Nursery rhyme, Children's song","Comptine, Chanson enfantine",,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LA VIE EN ROSE,no,no,no,no,no,no,"1. French : yes
2. English : yes","1. French->English : yes
2. English->French : yes","1. French : LA VIE EN ROSE
2. English : LA VIE EN ROSE",no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,French chanson,French chanson ,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LAC BALATON,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional music,Musique traditionnelle,,,"Hungary, Central Europe","Hongrie, Europe centrale",?,?,FALSE,,,,,,,,,,,
LAISSE TOMBER LES FILLES,no,no,no,no,no,no,"1. French : yes
2. English : yes","1. French->English : yes
2. English->French : yes","1. French : LAISSE TOMBER LES FILLES
2. English : CHICK HABIT",no,NA,"Adults 
Seniors",Intermediate,"French chanson, Pop","Chanson française, Pop",,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LALE,no,no,no,no,no,yes,Georgian : yes,"Georgian->French : yes
Georgian->English : yes",NA,"French : yes
English : yes",NA,"Teenagers
Adults
Seniors",Intermediate,Traditional music,Musique traditionnelle,,"Georgian: applause, autumn, boy, disappointment, girl, sadness, season, waiting ","Georgia, Eastern Europe, Western Asia ","Géorgie, Eastern Europe, Western Asia ",Georgian,Géorgien,TRUE,,,,,,,,,,,
LAMMA BADA YATATHANNA,no,no,no,no,no,yes,Arabic : yes,"Arabic->French : yes
Arabic->English : yes",NA,"French : yes
English : no",NA,"Teenagers
Adults
Seniors",Intermediate,"Traditional music, Traditional song","Musique traditionnelle, Chant traditionnel",,"Arabic: Appearance, beauty, love, seduction, suffering ",Middle East,Moyen-Orient ,Arabic,Arabe,TRUE,,,,,,,,,,,
LAVNANA,no,no,no,no,no,no,Georgian : yes,"Georgian->French : yes
Georgian->English : yes",NA,no,NA,Children,Easy,Lullaby,Berceuse,,,"Georgia, Eastern Europe, Western Asia ","Géorgie, Eastern Europe, Western Asia ",Georgian,Géorgien,TRUE,,,,,,,,,,,
LAZ PARI,no,no,no,no,no,no-> Pierre,Armenian : yes,"Armenian->French : yes
Armenian->English : yes",NA,no,NA,"Teenagers
Adults
Seniors",Advanced,"Traditional music, Traditional song","Musique traditionnelle, Chant traditionnel",,,"Armenia, Western Asia","Arménie, Asie de l'Ouest",Armenian,Arménien,TRUE,,,,,,,,,,,
LAZARE LAZARE,no,no,no,no,no,yes,Macedonian : yes,"Macedonian->French : yes
Macedonian->English : yes",NA,no,NA,"Teenagers
Adults
Seniors",Advanced,Traditional song,Chant traditionnel,,,"Macedonia, Western Europe","Macédoine, Europe de l'Ouest",Macedonian,Macedonian,TRUE,,,,,,,,,,,
LE COQ EST MORT,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no -> Anna,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Cannon, Children's song, Traditional song","Canon, Chanson enfantine, Chanson traditionnelle",,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LE DESERTEUR,no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,"Adults 
Seniors",Intermediate,Protest song,Chanson engagée ,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LE FACTEUR N'EST PAS PASSE,yes,no,no,no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,Children,Easy,Nursery rhyme,Comptine,"Attente, conscience, cycle, déception, facteur, frustration, jours de la semaine, post, temps ",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LE MATIN JE ME REVEILLE,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,Nursery rhyme,Comptine,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LE PAS DU CHEVAL,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional music,Musique traditionnelle,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,FALSE,,,,,,,,,,,
